"Name","Item ID","Rarity","Icon Path"
"Pirate Monarch's Treasure Throne","House_HousingItem_Entitlement_Chair_Pirate_LargeTreasurePile","Rare","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/housingitem/house_housingitem_entitlement_chair_pirate_largetreasurepile.webp"
"Pirate Monarch's Chandelier","House_HousingItem_Entitlement_Lighting_Pirate_BoneChandelier","Rare","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/housingitem/house_housingitem_entitlement_lighting_pirate_bonechandelier.webp"
"Pirate Monarch's Wall Sconce","House_HousingItem_Entitlement_Lighting_Pirate_SkullTower01","Rare","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/housingitem/house_housingitem_entitlement_lighting_pirate_skulltower01.webp"
"Pirate Monarch's Inverted Wall Sconce","House_HousingItem_Entitlement_Lighting_Pirate_SkullTower02","Rare","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/housingitem/house_housingitem_entitlement_lighting_pirate_skulltower02.webp"
"Pirate Monarch's Beloved Birdbath","House_HousingItem_Entitlement_Pet_Pirate_Bird","Rare","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/housingitem/house_housingitem_entitlement_pet_pirate_bird.webp"
"Pirate Monarch's Gilded Cannon","House_HousingItem_Entitlement_Pirate_Cannon","Rare","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/housingitem/house_housingitem_entitlement_pirate_cannon.webp"
"Pirate Monarch's Treasure Map","House_HousingItem_Entitlement_Pirate_Deluxe_TreasureMap","Rare","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/housingitem/house_housingitem_entitlement_pirate_deluxe_treasuremap.webp"
"Pirate Monarch's Octopus Vase","House_HousingItem_Entitlement_Pirate_FancyVase","Rare","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/housingitem/house_housingitem_entitlement_pirate_fancyvase.webp"
"""Ocean's Daughter"" Painting","House_HousingItem_Entitlement_Pirate_Mermaid_Painting","Rare","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/housingitem/house_housingitem_entitlement_pirate_mermaid_painting.webp"
"Pirate Monarch's Hoard","House_HousingItem_Entitlement_Pirate_SmallTreasurePile","Rare","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/housingitem/house_housingitem_entitlement_pirate_smalltreasurepile.webp"
